packet_id	n_blocks	top_mode	mode_margin	signal_strength	block_stability	composition_score	stress_score	matched_state_balance	negative_control_margin	missing_fraction	v_tag	mode_correlation_activation	mode_correlation_suppression	mode_correlation_delay	mode_correlation_persistent_loss	mode_correlation_redirection
F0351	3	activation	0.4733089539170507	0.5754377701488326	1.0	0.6913527017588842	0.15126094818679775	0.5381201206351619	0.4466223287462846	0.5027322404371585	none	0.5754377701488326	-0.5754377701488326	0.10212881623178187	-0.5847227875976554	-0.2958043598534602
F0352	3	activation	0.16730187350640346	0.32532472161757753	1.0	0.7128565057349237	0.148974048573174	0.5569742666213778	0.16807864272872508	0.5245901639344263	outcome	0.32532472161757753	-0.32532472161757753	0.15802284811117406	-0.3621806543044756	-0.35669393064502447
F0353	3	delay	0.46919751550288363	0.47294697342137293	1.0	0.68790991076713	0.16326628290261325	0.5614387880742888	0.27817044338374686	0.5027322404371585	reversal	-0.0037494579184892867	0.0037494579184892867	0.47294697342137293	-0.15190615873433724	-0.403016287850806
F0354	3	delay	0.015171425026925034	0.3419636967122745	1.0	0.7329450580696155	0.17238241874696714	0.5926891600676949	0.262271403423461	0.5573770491803278	rescue	0.32679227168534947	-0.32679227168534947	0.3419636967122745	-0.4186131891314972	-0.4438042784629368
F0355	3	delay	0.17445776905667593	0.4382564084244791	1.0	0.664624045712059	0.1668337626158872	0.626693680611005	0.3087179200167737	0.4918032786885246	replication	0.2637986393678032	-0.2637986393678032	0.4382564084244791	-0.41373243844630386	-0.45288456405983385
F0356	5	delay	0.4045279030003978	0.48507809255240064	1.0	0.7310744915172339	0.14925955320010104	0.5888508891019524	0.27074439977615816	0.5147540983606558	none	0.08055018955200284	-0.08055018955200284	0.48507809255240064	-0.24547412064201593	-0.48108711127452414
F0357	5	activation	0.09829814574392384	0.2890539910460163	0.8	0.6807766072374517	0.1539803937016656	0.6072942532619487	0.4070764758037071	0.49836065573770494	outcome	0.2890539910460163	-0.2890539910460163	0.19075584530209247	-0.3589688512679764	-0.335580781785636
F0358	5	delay	0.32056511495056583	0.5144917108506136	1.0	0.7001932533607974	0.15828921957403583	0.608092997774281	0.25162898953149326	0.5114754098360655	reversal	0.1939265959000478	-0.1939265959000478	0.5144917108506136	-0.3714429440195126	-0.5879056268158531
F0359	5	activation	0.27365635569999436	0.35160637579963744	1.0	0.6842145968579675	0.1508184020411475	0.5543548911884377	0.24780309171558557	0.5540983606557377	rescue	0.35160637579963744	-0.35160637579963744	0.07795002009964307	-0.3717245063997568	-0.20086097968190098
F0360	5	delay	0.5071187784466357	0.5290150687947117	1.0	0.7169376837013077	0.1561773283823916	0.5826629508912143	0.181429868509979	0.46557377049180326	replication	-0.021896290348076018	0.021896290348076018	0.5290150687947117	-0.1483788324127093	-0.46824422664324505
