trajectory	contrast	pathway	day	delta_auc_day	direction_day	main_direction	direction_consistent	n_cells_case	n_cells_reference
mk	T21_wtGATA1_vs_Euploid_wtGATA1	HALLMARK_MYC_TARGETS_V1	D11	0.4703882336616516	positive	positive	True	7332	9598
mk	T21_wtGATA1_vs_Euploid_wtGATA1	HALLMARK_MYC_TARGETS_V2	D7	0.6007751226425171	positive	positive	True	7477	8596
mk	T21_wtGATA1_vs_Euploid_wtGATA1	HALLMARK_MYC_TARGETS_V2	D9	0.3168996274471283	positive	positive	True	9336	8522
mk	T21_wtGATA1_vs_Euploid_wtGATA1	HALLMARK_MYC_TARGETS_V2	D11	0.3818325400352478	positive	positive	True	7332	9598
mk	T21_wtGATA1_vs_Euploid_wtGATA1	HSPC_STEMNESS	D7	0.175840139389038	positive	positive	True	7477	8596
mk	T21_wtGATA1_vs_Euploid_wtGATA1	HSPC_STEMNESS	D9	0.0741143673658371	positive	positive	True	9336	8522
mk	T21_wtGATA1_vs_Euploid_wtGATA1	HSPC_STEMNESS	D11	0.1507611721754074	positive	positive	True	7332	9598
mk	T21_wtGATA1_vs_Euploid_wtGATA1	INFLAMMATORY_INTERFERON	D7	0.0625611841678619	positive	negative	False	7477	8596
mk	T21_wtGATA1_vs_Euploid_wtGATA1	INFLAMMATORY_INTERFERON	D9	-0.90191251039505	negative	negative	True	9336	8522
mk	T21_wtGATA1_vs_Euploid_wtGATA1	INFLAMMATORY_INTERFERON	D11	-0.0399008691310882	negative	negative	True	7332	9598
mk	T21_wtGATA1_vs_Euploid_wtGATA1	RIBOSOME_TRANSLATION	D7	1.230838179588318	positive	positive	True	7477	8596
mk	T21_wtGATA1_vs_Euploid_wtGATA1	RIBOSOME_TRANSLATION	D9	0.1000051200389862	positive	positive	True	9336	8522
mk	T21_wtGATA1_vs_Euploid_wtGATA1	RIBOSOME_TRANSLATION	D11	0.6398969888687134	positive	positive	True	7332	9598
myeloid	Euploid_GATA1s_vs_Euploid_wtGATA1	ERYTHROID_MATURATION	D7	0.0832857713103294	positive	negative	False	6893	9770
myeloid	Euploid_GATA1s_vs_Euploid_wtGATA1	ERYTHROID_MATURATION	D9	-0.2151497602462768	negative	negative	True	11663	7303
myeloid	Euploid_GATA1s_vs_Euploid_wtGATA1	ERYTHROID_MATURATION	D11	-0.6581088304519653	negative	negative	True	8369	5952
myeloid	Euploid_GATA1s_vs_Euploid_wtGATA1	GATA_KLF_TAL1_REGULON	D7	0.2241320312023162	positive	negative	False	6893	9770
myeloid	Euploid_GATA1s_vs_Euploid_wtGATA1	GATA_KLF_TAL1_REGULON	D9	-0.3701924681663513	negative	negative	True	11663	7303
myeloid	Euploid_GATA1s_vs_Euploid_wtGATA1	GATA_KLF_TAL1_REGULON	D11	-0.5444420576095581	negative	negative	True	8369	5952
myeloid	Euploid_GATA1s_vs_Euploid_wtGATA1	HALLMARK_HEME_METABOLISM	D7	0.1810939162969589	positive	negative	False	6893	9770
myeloid	Euploid_GATA1s_vs_Euploid_wtGATA1	HALLMARK_HEME_METABOLISM	D9	-0.3448981642723083	negative	negative	True	11663	7303
myeloid	Euploid_GATA1s_vs_Euploid_wtGATA1	HALLMARK_HEME_METABOLISM	D11	-0.2611664533615112	negative	negative	True	8369	5952
myeloid	Euploid_GATA1s_vs_Euploid_wtGATA1	HALLMARK_MYC_TARGETS_V2	D7	0.2983294725418091	positive	positive	True	6893	9770
myeloid	Euploid_GATA1s_vs_Euploid_wtGATA1	HALLMARK_MYC_TARGETS_V2	D9	0.0276452582329511	positive	positive	True	11663	7303
myeloid	Euploid_GATA1s_vs_Euploid_wtGATA1	HALLMARK_MYC_TARGETS_V2	D11	0.0439385995268821	positive	positive	True	8369	5952
myeloid	Euploid_GATA1s_vs_Euploid_wtGATA1	HEME_GLOBIN	D7	0.0421635657548904	positive	negative	False	6893	9770
