protein_name	target_gene	n_cells	mean_score	control_mean_score	effect_size_vs_control	p_value	q_value	direction	block_support	direction_stability
HLA_E	CD58	1166	-0.02048493813291802	0.004542059181427508	-0.02502699731434553	0.14720476029730228	0.6903494037381996	down	0.6666666666666666	0.6666666666666666
HLA_E	CD59	1238	-0.016320877577083573	0.004542059181427508	-0.02086293675851108	0.22355797018877727	0.8478422089147429	down	0.6666666666666666	0.6666666666666666
HLA_E	CD63	864	0.016230985202250265	0.004542059181427508	0.011688926020822757	0.5682132423982404	0.9220111589905085	up	0.6666666666666666	0.6666666666666666
HLA_E	CDC123	320	0.029715045658160827	0.004542059181427508	0.02517298647673332	0.4441982310774023	0.9205014075905328	up	0.6666666666666666	0.6666666666666666
HLA_E	CDH19	1175	-0.019857141552193248	0.004542059181427508	-0.024399200733620757	0.15154011301570236	0.6903494037381996	down	1.0	1.0
HLA_E	CDK4	828	0.004448352753907449	0.004542059181427508	-9.370642752005911e-05	0.9963982762397321	1.0	down	0.6666666666666666	0.6666666666666666
HLA_E	CDK6	414	0.05201605228910615	0.004542059181427508	0.04747399310767864	0.10712662585951115	0.6903494037381996	up	0.6666666666666666	0.6666666666666666
HLA_E	CDKN1A	1049	-0.044357116887108056	0.004542059181427508	-0.04889917606853556	0.005105198968410372	0.11417081329354105	down	1.0	1.0
HLA_E	CDKN2A	888	0.013600934076652988	0.004542059181427508	0.00905887489522548	0.6452923672199744	0.9625636687285074	up	0.3333333333333333	0.3333333333333333
HLA_E	CDKN2B	983	-0.021223667714335412	0.004542059181427508	-0.025765726895762918	0.15983224285572187	0.711544344759811	down	1.0	1.0
HLA_E	CGAS	767	0.005416858244942346	0.004542059181427508	0.0008747990635148382	0.965586907038831	1.0	up	0.3333333333333333	0.3333333333333333
HLA_E	CHCHD2	1016	0.0331478060100254	0.004542059181427508	0.028605746828597893	0.12616032145679484	0.6903494037381996	up	1.0	1.0
HLA_E	CITED1	1109	-0.015092514624652427	0.004542059181427508	-0.019634573806079934	0.2739597507067906	0.8478422089147429	down	0.6666666666666666	0.6666666666666666
HLA_E	CKS1B	965	0.06864929872729565	0.004542059181427508	0.06410723954586814	0.0021526932979990085	0.058840283478639566	up	1.0	1.0
HLA_E	CMSS1	995	-0.006949605806920866	0.004542059181427508	-0.011491664988348374	0.5374774704997616	0.9220111589905085	down	0.6666666666666666	0.6666666666666666
HLA_E	CORO1A	898	0.0016826764124012405	0.004542059181427508	-0.0028593827690262673	0.8847216665755924	0.9726791760832838	down	0.6666666666666666	0.6666666666666666
HLA_E	CSPG4	1195	0.015819295295132034	0.004542059181427508	0.011277236113704526	0.5203441139726732	0.9220111589905085	up	0.6666666666666666	0.6666666666666666
HLA_E	CST3	690	-0.008532915359020444	0.004542059181427508	-0.013074974540447952	0.5576129552803337	0.9220111589905085	down	0.6666666666666666	0.6666666666666666
